Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Utilities,Utilities Water Distribution,Utility Maintenance Mech II,Permanent Full-time,08/22/2006,05/09/2022,Nonexempt,41654.66
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,09/18/2000,09/29/2019,Nonexempt,66312.29
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,09/24/2022,12/04/2023,Nonexempt,42543.11
Utilities,Utilities Water Distribution,Equipment Operator IV,Permanent Full-time,02/07/2000,02/11/2023,Nonexempt,57606.20
Utilities,Utilities Water Production,General Utility Maint Supv,Permanent Full-time,05/01/1980,05/15/1996,Exempt,94883.21
Utilities,Utilities Engineering,Civil Engineer III,Permanent Full-time,04/11/2020,04/11/2020,Exempt,83968.96
Utilities,Utilities Water Distribution,Accounting Technician II,Permanent Full-time,03/23/2015,03/23/2015,Nonexempt,39837.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech II,Permanent Full-time,04/11/2020,07/31/2021,Nonexempt,41205.94
Utilities,Utilities Water Distribution,Equipment Operator IV,Permanent Full-time,12/27/2010,09/25/2021,Nonexempt,47407.50
Utilities,Utilities Engineering,Assistant City Engineer,Permanent Full-time,03/20/2017,07/19/2021,Exempt,116624.66
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,02/10/2024,02/10/2024,Nonexempt,39575.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,08/23/2004,08/31/2020,Nonexempt,39575.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,02/24/2024,02/24/2024,Nonexempt,39575.00
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,08/15/2014,02/15/2022,Nonexempt,63888.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,06/06/2022,06/06/2022,Nonexempt,39837.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,07/06/2020,07/06/2020,Nonexempt,46638.86
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,06/10/2017,09/29/2019,Nonexempt,65165.66
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,03/11/2002,05/18/2024,Nonexempt,48203.00
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,11/03/1986,01/21/2017,Nonexempt,69836.53
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,07/05/2006,08/16/2021,Nonexempt,39837.00
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,11/23/2019,07/06/2021,Nonexempt,46336.97
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,08/29/2022,08/29/2022,Nonexempt,39575.00
Utilities,Utilities Accounting&Budget,Accountant I,Permanent Full-time,03/05/2018,02/25/2023,Nonexempt,51765.52
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,09/24/2022,09/24/2022,Nonexempt,39837.00
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,06/23/2008,10/23/2015,Nonexempt,39837.00
Utilities,Utilities Engineering,Civil Engineer II,Permanent Full-time,12/02/2023,12/02/2023,Exempt,69992.00
Utilities,Utilities Engineering,Engineering Technician II,Permanent Full-time,12/16/2023,12/16/2023,Nonexempt,45013.00
Utilities,Utilities Accounting&Budget,Accountant I,Permanent Full-time,06/21/2022,06/21/2022,Nonexempt,53287.52
Utilities,Utilities Water Production,Application Dev Team Supv,Permanent Full-time,05/29/2018,05/29/2018,Exempt,103967.80
Utilities,Utilities Engineering,Civil Engineer III,Permanent Full-time,06/22/2019,06/22/2019,Exempt,90748.56
Utilities,Utilities Water Production,Waterworks Operator IV,Permanent Full-time,02/23/2015,02/23/2015,Nonexempt,49836.94
Utilities,Utilities Water Production,Storekeeper III,Permanent Full-time,11/14/2005,05/23/2013,Nonexempt,41113.85
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,07/19/2001,04/09/2022,Nonexempt,64375.08
Utilities,Utilities Water Production,Maintenance Worker II,Permanent Full-time,09/10/2013,09/10/2013,Nonexempt,39575.00
Utilities,Utilities Engineering,Engineering Technician I,Permanent Full-time,09/08/2011,03/23/2012,Nonexempt,49224.00
Utilities,Utilities Water Production,Waterworks Operator IV,Permanent Full-time,05/04/2024,05/04/2024,Nonexempt,62118.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,39575.00
Utilities,Utilities Water Production,Utility Maintenance Mech I,Permanent Full-time,10/15/2018,01/03/2023,Nonexempt,43531.95
Utilities,Utilities Engineering,Civil Engineer I,Permanent Full-time,06/01/2007,10/04/2021,Exempt,70974.54
Utilities,Utilities Water Production,Utility Maintenance Mech I,Permanent Full-time,10/07/2023,10/07/2023,Nonexempt,43821.00
Utilities,Utilities Water Distribution,Storekeeper I,Permanent Full-time,06/22/2019,01/02/2024,Nonexempt,44095.49
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,39575.00
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,02/08/2013,02/08/2013,Nonexempt,39575.00
Utilities,Utilities Water Accounts,Staff Technician II,Permanent Full-time,04/07/2006,08/14/2023,Nonexempt,42339.70
Utilities,Utilities Engineering,Construction Inspector II,Permanent Full-time,03/24/2014,03/28/2020,Nonexempt,46416.30
Utilities,Utilities Water Quality,Water Quality Manager,Permanent Full-time,03/28/2022,03/28/2022,Exempt,96733.27
Utilities,Utilities Engineering,Construction Inspector II,Permanent Full-time,03/13/2000,05/18/2024,Nonexempt,70302.93
Utilities,Utilities Engineering,General Utility Maint Supv,Permanent Full-time,03/21/2005,11/07/2020,Exempt,69147.44
Utilities,Utilities Water Production,Utility Maintenance Supervisor,Permanent Full-time,12/17/2007,04/10/2023,Nonexempt,49887.60
Utilities,Utilities Water Production,Maintenance Worker II,Permanent Full-time,09/23/2023,09/23/2023,Nonexempt,45511.25
Utilities,Utilities Water Production,Utility Maintenance Mech I,Permanent Full-time,07/20/2019,01/19/2021,Nonexempt,39837.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,08/20/2018,12/20/2021,Nonexempt,48758.06
Utilities,Utilities Water Production,Asst Supt of Utility Division,Permanent Full-time,10/10/2020,07/17/2023,Exempt,83393.00
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,04/11/2005,08/31/2019,Nonexempt,48463.33
Utilities,Utilities Water Distribution,"Utility MaintenanceSupv, Sr",Permanent Full-time,09/23/1996,02/27/2021,Nonexempt,65651.88
Utilities,Utilities Water Production,Chief Waterworks Operator,Permanent Full-time,10/28/1986,09/27/2013,Nonexempt,72907.90
Utilities,Utilities Engineering,Management Analyst III,Permanent Full-time,10/30/2017,03/13/2023,Exempt,74721.31
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,01/30/2012,11/24/2014,Nonexempt,43246.94
Utilities,Utilities Water Quality,Water Chemist,Casual Part-time,10/21/2023,10/21/2023,Exempt,24.88
Utilities,Utilities Water Accounts,Collection Coord,Permanent Full-time,04/08/2023,04/08/2023,Exempt,55366.61
Utilities,Utilities Water Accounts,Staff Technician II,Permanent Full-time,02/24/2014,02/24/2014,Nonexempt,42339.70
Utilities,Utilities Water Production,Maintenance Worker II,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,43531.95
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,03/28/2022,03/28/2022,Nonexempt,39837.00
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,01/22/1998,07/30/2022,Nonexempt,47229.00
Utilities,Utilities Water Production,Crew Leader I,Permanent Full-time,09/12/2020,09/12/2022,Nonexempt,45510.68
Utilities,Utilities Water Accounts,Management Analyst III,Permanent Full-time,04/10/2006,06/01/2024,Exempt,67341.48
Utilities,Utilities Water Accounts,Administrative Assistant II,Permanent Full-time,09/23/2002,09/10/2007,Nonexempt,53037.75
Utilities,Utilities Water Production,Maintenance Worker I,Permanent Full-time,04/06/2024,04/06/2024,Nonexempt,41278.00
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,03/16/2020,03/16/2020,Nonexempt,39837.00
Utilities,Utilities Engineering,Administrative Assistant II,Permanent Full-time,02/24/2024,02/24/2024,Nonexempt,49035.00
Utilities,Utilities Water Distribution,Program Supervisor,Permanent Full-time,10/07/2023,10/07/2023,Exempt,58000.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,06/03/2023,07/17/2023,Nonexempt,39837.00
Utilities,Utilities Water Production,Maintenance Worker I,Permanent Full-time,03/17/2008,03/17/2008,Nonexempt,39312.00
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,06/17/2009,10/24/2022,Nonexempt,45812.55
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,06/23/2004,05/23/2005,Nonexempt,40960.32
Utilities,Utilities Water Distribution,Asst Supt of Utility Division,Permanent Full-time,04/04/2012,05/08/2015,Exempt,77438.52
Utilities,Utilities Water Production,Waterworks Operator IV,Permanent Full-time,04/21/2003,04/08/2014,Nonexempt,81664.67
Utilities,Utilities Water Production,Waterworks Operator IV,Permanent Full-time,12/20/2021,12/20/2021,Nonexempt,75242.48
Utilities,Utilities Water Production,Utility Maintenance Mech III,Permanent Full-time,09/27/2021,02/11/2023,Nonexempt,45812.55
Utilities,Utilities Water Production,Waterworks Operator I,Permanent Full-time,12/17/2022,12/17/2022,Nonexempt,46410.00
Utilities,Utilities Water Distribution,"Utility MaintenanceSupv, Sr",Permanent Full-time,12/19/1997,11/23/2020,Nonexempt,66018.75
Utilities,Utilities Engineering,Construction Inspector I,Permanent Full-time,11/29/2010,08/12/2023,Nonexempt,46490.08
Utilities,Utilities Water Production,General Utility Maint Supv,Permanent Full-time,12/10/2012,12/10/2012,Exempt,71615.13
Utilities,Utilities Engineering,Construction Inspector II,Permanent Full-time,03/08/2016,11/08/2021,Nonexempt,46416.30
Utilities,Utilities Water Distribution,Cross-Connection Specialist,Permanent Full-time,11/23/2019,06/06/2022,Nonexempt,41399.98
Utilities,Utilities Water Production,Administrative Assistant I,Permanent Full-time,08/16/2004,09/23/2014,Nonexempt,46573.64
Utilities,Utilities Water Production,Reservoir Manager,Permanent Full-time,11/05/1990,05/15/1996,Exempt,77071.45
Utilities,Utilities Engineering,Engineering Technician IV,Permanent Full-time,06/11/2018,03/29/2021,Nonexempt,59322.00
Utilities,Utilities Water Quality,Water Chemist,Permanent Full-time,12/05/2022,05/20/2024,Exempt,45760.00
Utilities,Utilities Water Quality,Asst Supt of Utility Division,Permanent Full-time,07/01/2008,07/01/2008,Exempt,80464.99
Utilities,Utilities Water Production,Programmer/Analyst IV,Permanent Full-time,08/20/2018,11/25/2019,Exempt,65227.74
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,12/23/2013,04/01/2014,Nonexempt,39837.00
Utilities,Utilities Engineering,Chief of Construction Oper,Permanent Full-time,08/13/2012,08/13/2012,Exempt,96057.33
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,39575.00
Utilities,Utilities Water Production,Construction Inspector II,Permanent Full-time,12/16/2023,12/16/2023,Nonexempt,49515.00
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,11/21/2020,08/30/2021,Nonexempt,41205.94
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,07/05/2022,10/23/2023,Nonexempt,43532.49
Utilities,Utilities Water Production,Maintenance Worker II,Permanent Full-time,08/23/2014,05/23/2020,Nonexempt,39575.00
Utilities,Utilities Engineering,Construction Inspector II,Permanent Full-time,03/11/1996,02/01/2021,Nonexempt,50363.04
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,05/14/2018,07/08/2019,Nonexempt,40362.00
Utilities,Utilities Water Production,Maintenance Worker I,Permanent Full-time,07/06/2021,07/06/2021,Nonexempt,39312.00
Utilities,Utilities Water Distribution,Equipment Operator II,Permanent Full-time,04/08/2023,04/08/2023,Nonexempt,39837.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech II,Permanent Full-time,04/24/2021,05/07/2022,Nonexempt,44139.69
Utilities,Utilities Water Distribution,Maintenance Worker II,Permanent Full-time,11/18/2023,11/18/2023,Nonexempt,39575.00
Utilities,Utilities Water Production,Water Production Manager,Permanent Full-time,11/18/1997,03/04/2024,Exempt,105645.00
Utilities,Utilities Water Production,Electrician II,Permanent Full-time,11/21/2020,11/21/2020,Nonexempt,51444.95
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,01/23/2012,04/25/2022,Nonexempt,46800.02
Utilities,Utilities Director's Office,Safety Specialist,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,60637.50
Utilities,Utilities Engineering,Civil Engineer III,Permanent Full-time,06/25/2018,06/25/2018,Exempt,92560.00
Utilities,Utilities Water Distribution,Equipment Operator II,Permanent Full-time,05/06/2023,05/06/2023,Nonexempt,39837.00
Utilities,Utilities Water Production,Programmer/Analyst IV,Permanent Full-time,06/20/2020,06/20/2020,Exempt,84032.55
Utilities,Utilities Water Distribution,Equipment Operator II,Permanent Full-time,12/02/1991,05/14/2001,Nonexempt,41862.21
Utilities,Utilities Engineering,Civil Engineer V,Permanent Full-time,10/25/2004,02/24/2024,Exempt,119235.00
Utilities,Utilities Water Production,Maintenance Worker II,Permanent Full-time,02/11/2023,02/11/2023,Nonexempt,43531.95
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,08/29/2020,04/24/2023,Nonexempt,47386.82
Utilities,Utilities Water Production,Waterworks Operator IV,Permanent Full-time,10/24/2014,10/30/2017,Nonexempt,50084.52
Utilities,Utilities Engineering,GIS Specialist II,Permanent Full-time,11/26/2012,05/06/2024,Exempt,52615.61
Utilities,Utilities Water Distribution,Support Technician,Permanent Full-time,10/23/2002,09/16/2019,Nonexempt,39312.00
Utilities,Utilities Water Distribution,Equipment Operator III,Permanent Full-time,08/20/2018,03/30/2019,Nonexempt,40100.00
Utilities,Utilities Water Quality,Asst Supt of Utility Division,Permanent Full-time,12/29/2008,12/23/2014,Exempt,78171.06
Utilities,Utilities Engineering,GIS Team Supervisor,Permanent Full-time,06/03/2004,01/03/2023,Exempt,89690.00
Utilities,Utilities Water Production,"Utility MaintenanceSupv, Sr",Permanent Full-time,08/20/2018,07/30/2022,Nonexempt,58030.66
Utilities,Utilities Water Distribution,Crew Leader I,Permanent Full-time,09/24/2022,12/04/2023,Nonexempt,43532.49
Utilities,Utilities Director's Office,Management Analyst II,Permanent Full-time,07/08/2015,10/10/2022,Exempt,56794.96
Utilities,Utilities Water Distribution,"Utility MaintenanceSupv, Sr",Permanent Full-time,04/23/2013,12/05/2022,Nonexempt,60984.00
Utilities,Utilities Water Production,"Utility MaintenanceSupv, Sr",Permanent Full-time,04/23/2013,12/14/2015,Nonexempt,58782.84
Utilities,Utilities Water Production,Electrician II,Permanent Full-time,12/19/2020,06/07/2021,Nonexempt,51444.95
Utilities,Utilities Water Distribution,Storekeeper III,Permanent Full-time,11/06/2000,07/29/2023,Nonexempt,45512.00
Utilities,Utilities Engineering,Civil Engineer I,Permanent Full-time,05/26/2020,05/26/2020,Exempt,69638.00
Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Permanent Full-time,03/23/2024,03/23/2024,Nonexempt,42543.11
Utilities,Utilities Engineering,"Utility MaintenanceSupv, Sr",Permanent Full-time,03/07/1995,04/23/2007,Nonexempt,61939.04
Utilities,Utilities Director's Office,Director of Utilities,Permanent Full-time,03/05/2007,05/06/2024,Exempt,175875.00
Utilities,Utilities Water Accounts,Account Representative,Permanent Full-time,09/09/2002,01/10/2005,Nonexempt,41983.74
Utilities,Utilities Water Accounts,Program Supervisor,Permanent Full-time,02/28/2022,02/28/2022,Exempt,62451.72
Utilities,Utilities Water Accounts,Business Manager,Permanent Full-time,06/01/2024,06/01/2024,Exempt,60668.25
Utilities,Utilities Engineering,Contract Monitoring Spec,Permanent Full-time,01/01/1988,05/15/1996,Exempt,62733.00
Utilities,Utilities Director's Office,Messenger/Driver,Permanent Full-time,10/25/2021,10/25/2021,Nonexempt,39312.00
Utilities,Utilities Water Production,Waterworks Operator I,Permanent Full-time,04/25/2022,04/25/2022,Nonexempt,41619.04
Utilities,Utilities Water Distribution,Utility Maintenance Supervisor,Permanent Full-time,03/14/2022,08/12/2023,Nonexempt,47386.00
Utilities,Utilities Water Production,Waterworks Operator I,Permanent Full-time,02/10/2024,02/10/2024,Nonexempt,44398.00
